54 2
morning صباح
evening مساء
now الان
today اليوم
time الساعة
house بيت
door باب
neighbor جار
room غرفة
chair كرسي
table طاولة
window شباك
desk مكتب
city مدينة
street شارع
university جامعة
church كنيسة
library مكتبة
car سيارة
plane طايرة
department قسم
college كلية
professor استاد
teacher مدرس
student طالب
lesson درس
homework واجب
test امتحان
exercise تمرين
class فصل
notebook دفتر
pen قلم
paper ورقة
literature الادب
linguistics اللسانيات
grammar قواعد
vocabulary مفردات
person شخص
big كبير
boy ولد
girl بنت
man رجل
woman مراة
father والد
mother والدة
brother اخ
sister اخت
bride عروس
groom عريس
check شيك
baker خباز
doctor طبيب
veterinarian طبيب بيطري
